﻿ID;Date;Heure;Instrument;Sens;Session;Setup;Entrée;Stop;Objectif;Sortie;Taille (lots);Risque;P&L brut;Frais;P&L net;R;Respect du plan;Émotion;Erreur;Durée (min);Notes;Capture
Tmu268dpozmbfc;2026-06-03;02:30;XAUUSD;Long;Asie;Golden Setup (Phase C);2330,00000;2329,18153;2339,30189;2332,04617;1,22;100,00;250,00;2,05;247,95;2,48;oui;Calme;Aucune;222;Setup validé, exécution conforme au plan.;
Tmu268dpolvvnl;2026-06-04;09:00;NAS100;Long;Europe;Market Shift (ChoCh);18300,00000;18286,90000;18454,20000;18288,60000;0,76;100,00;-87,00;3,20;-90,20;-0,90;oui;Calme;Aucune;196;Setup validé, exécution conforme au plan.;
Tmu268dposoz52;2026-06-05;13:30;NAS100;Long;USA;Market Shift (ChoCh);18374,10000;18366,00000;18438,30000;18364,30000;1,23;100,00;-120,00;2,16;-122,16;-1,22;oui;Calme;Aucune;144;Setup validé, exécution conforme au plan.;
Tmu268dpo408ww;2026-06-09;14:25;XAUUSD;Long;USA;Market Shift (ChoCh);2324,82493;2323,44865;2339,04762;2323,62757;0,73;100,00;-87,00;6,77;-93,77;-0,94;oui;Calme;Aucune;44;Setup validé, exécution conforme au plan.;
Tmu268dpopf1n8;2026-06-10;08:30;XAUUSD;Short;Europe;Golden Setup (Phase C);2321,30715;2322,66341;2305,71770;2319,86951;0,74;100,00;106,00;7,14;98,86;0,99;oui;Confiant;Aucune;105;Setup validé, exécution conforme au plan.;
Tmu268dpot7obj;2026-06-11;13:25;NAS100;Long;USA;ODF (entrée ratée);18347,10000;18339,70000;18409,40000;18342,70000;1,35;100,00;-60,00;2,47;-62,47;-0,62;oui;Confiant;Sortie trop tôt;133;Setup validé, exécution conforme au plan.;
Tmu268dpoimie3;2026-06-11;13:40;EURUSD;Long;USA;Golden Setup (Phase C);1,08500;1,08428;1,09267;1,08452;1,39;100,00;-66,00;3,60;-69,60;-0,70;oui;Calme;Aucune;143;Setup validé, exécution conforme au plan.;
Tmu268dpokt027;2026-06-12;13:30;US30;Long;USA;ODF (entrée ratée);39200,00000;39185,90000;39242,10000;39230,80000;0,71;100,00;218,00;2,55;215,45;2,15;non;Calme;Poursuite du prix (entrée ratée);82;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpo066sn;2026-06-12;08:10;US30;Short;Europe;Market Shift (ChoCh);39043,60000;39056,10000;38938,10000;39005,40000;0,80;100,00;305,00;4,86;300,14;3,00;oui;Calme;Aucune;163;Setup validé, exécution conforme au plan.;
Tmu268dppugdjg;2026-06-12;01:25;GBPUSD;Short;Asie;Complexe Pull Back;1,26500;1,26612;1,25628;1,26146;0,89;100,00;317,00;2,54;314,46;3,14;oui;Confiant;Aucune;126;Setup validé, exécution conforme au plan.;
Tmu268dppeyyac;2026-06-15;03:15;GBPUSD;Short;Asie;Complexe Pull Back;1,26060;1,26148;1,25438;1,25863;1,14;100,00;223,00;4,43;218,57;2,19;oui;Calme;Aucune;153;Setup validé, exécution conforme au plan.;
Tmu268dpp8943l;2026-06-17;09:05;NAS100;Long;Europe;Complexe Pull Back;18390,20000;18382,30000;18472,40000;18402,40000;1,27;100,00;155,00;7,85;147,15;1,47;oui;Confiant;Aucune;127;Setup validé, exécution conforme au plan.;
Tmu268dppqx077;2026-06-24;08:25;GBPUSD;Short;Europe;Golden Setup (Phase C);1,25706;1,25815;1,24583;1,25819;0,92;100,00;-104,00;6,35;-110,35;-1,10;oui;Confiant;Aucune;159;Setup validé, exécution conforme au plan.;
Tmu268dpp39qwt;2026-06-25;02:40;XAUUSD;Short;Asie;Golden Setup (Phase C);2324,49612;2325,31815;2321,82111;2323,83850;1,22;100,00;80,00;3,22;76,78;0,77;partiel;Calme;Entrée hors fenêtre de tir;159;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpp097hl;2026-06-26;01:35;GBPUSD;Short;Asie;ODF (entrée ratée);1,25648;1,25760;1,24835;1,25789;0,89;100,00;-126,00;2,14;-128,14;-1,28;oui;Calme;Aucune;158;Setup validé, exécution conforme au plan.;
